Time,symbol,Close,Open,High,Low,Volume
2017-07-04 07:00:00,VNINDEX,775.54,779.15,779.15,772.9,210154270
2017-07-05 07:00:00,VNINDEX,778.32,775.85,778.32,773.81,202611490
2017-07-06 07:00:00,VNINDEX,782.65,780.5,782.77,779.99,217291680
2017-07-07 07:00:00,VNINDEX,775.73,783.73,783.81,775.73,237199480
2017-07-10 07:00:00,VNINDEX,766.56,775.85,775.85,764.43,207350440
2017-07-11 07:00:00,VNINDEX,769.36,766.56,769.36,761.57,198964720
2017-07-12 07:00:00,VNINDEX,774.17,772.6,775.08,769.83,163777890
2017-07-13 07:00:00,VNINDEX,778.3,777.12,778.3,773.85,183216330
2017-07-14 07:00:00,VNINDEX,777.6,779.72,780.65,776.88,189794180
2017-07-17 07:00:00,VNINDEX,768.91,777.7,778.3,766.47,225823120
2017-07-18 07:00:00,VNINDEX,767.49,766.88,770.37,762.68,201070890
2017-07-19 07:00:00,VNINDEX,771.3,771.33,774.12,770.18,205221170
2017-07-20 07:00:00,VNINDEX,768.41,768.56,768.56,763.55,172385410
2017-07-21 07:00:00,VNINDEX,761.86,768.9,770.43,761.86,162474290
2017-07-24 07:00:00,VNINDEX,759.74,759.97,761.64,753.82,146939630
2017-07-25 07:00:00,VNINDEX,767.27,757.43,767.27,757.35,139582860
2017-07-26 07:00:00,VNINDEX,773.88,769.35,773.88,764.92,188632680
2017-07-27 07:00:00,VNINDEX,771.5,773.21,774.97,770.3,191436360
2017-07-28 07:00:00,VNINDEX,777.09,771.21,777.09,770.82,177186920
2017-07-31 07:00:00,VNINDEX,783.55,777.54,783.58,776.72,258874940
2017-08-01 07:00:00,VNINDEX,786.81,784.44,787.68,784.15,201082610
2017-08-02 07:00:00,VNINDEX,786.23,783.45,788.97,779.81,194673150
2017-08-03 07:00:00,VNINDEX,788.49,786.19,790.82,786.19,195378820
2017-08-04 07:00:00,VNINDEX,788.68,789.46,790.12,786.09,189688130
2017-08-07 07:00:00,VNINDEX,792.98,789.41,796.09,788.66,210236060
2017-08-08 07:00:00,VNINDEX,791.57,795.8,796.62,789.84,213526640
2017-08-09 07:00:00,VNINDEX,773.66,789.15,789.15,773.66,292795000
2017-08-10 07:00:00,VNINDEX,773.43,769.58,776.77,769.58,178275390
2017-08-11 07:00:00,VNINDEX,772.08,771.86,774.31,769.14,156752670
2017-08-14 07:00:00,VNINDEX,776.17,770.65,776.42,770.65,159668260
2017-08-15 07:00:00,VNINDEX,771.06,776.64,776.83,770.09,145550720
2017-08-16 07:00:00,VNINDEX,773.57,771.1,773.57,766.8,156131920
2017-08-17 07:00:00,VNINDEX,767.59,773.48,774.47,767.59,220817310
2017-08-18 07:00:00,VNINDEX,768.97,762.82,770.79,762.46,162337400
2017-08-21 07:00:00,VNINDEX,768.79,767.42,769.71,765.95,152284410
2017-08-22 07:00:00,VNINDEX,761.26,768.2,768.44,760.3,145570650
2017-08-23 07:00:00,VNINDEX,765.98,762.42,765.98,759.01,152531930
2017-08-24 07:00:00,VNINDEX,769.77,766.48,771.65,764.64,208905050
2017-08-25 07:00:00,VNINDEX,771.63,769.07,771.63,768.57,218265430
2017-08-28 07:00:00,VNINDEX,777.26,771.81,777.26,770.51,240572610
2017-08-29 07:00:00,VNINDEX,774.03,773.91,777.11,773.87,255981300
2017-08-30 07:00:00,VNINDEX,778.65,774.31,778.65,773.85,193496470
2017-08-31 07:00:00,VNINDEX,782.76,779.19,785.78,778.19,191640520
2017-09-01 07:00:00,VNINDEX,788.73,784.42,789.19,784.18,137914410
2017-09-05 07:00:00,VNINDEX,792.31,790.26,794.46,787.8,153091050
2017-09-06 07:00:00,VNINDEX,793.55,792.16,793.82,788.89,144147770
2017-09-07 07:00:00,VNINDEX,796.72,793.61,798.58,792.77,143540810
2017-09-08 07:00:00,VNINDEX,801.2,797.98,802.9,797.82,122071810
2017-09-11 07:00:00,VNINDEX,797.47,801.2,805.44,797.47,138929970
2017-09-12 07:00:00,VNINDEX,799.94,795.53,801.01,794.88,133449030
2017-09-13 07:00:00,VNINDEX,802.78,802.85,804.38,800.39,139692830
2017-09-14 07:00:00,VNINDEX,806.32,803.34,807.29,803.23,139352800
2017-09-15 07:00:00,VNINDEX,805.82,803.35,805.82,802.08,142760690
2017-09-18 07:00:00,VNINDEX,807.87,808.51,809.39,805.37,167579320
2017-09-19 07:00:00,VNINDEX,805.93,807.41,810.13,805.87,160487610
2017-09-20 07:00:00,VNINDEX,805.86,806.88,807.51,803.33,137443940
2017-09-21 07:00:00,VNINDEX,803.93,805.29,806.52,802.6,130767410
2017-09-22 07:00:00,VNINDEX,807.13,805.15,808.16,803.94,150381610
2017-09-25 07:00:00,VNINDEX,805.58,806.9,807.64,802.23,126085700
2017-09-26 07:00:00,VNINDEX,805.35,806.4,806.84,801.66,155559280
2017-09-27 07:00:00,VNINDEX,803.77,803.32,805.04,801.74,142029330
2017-09-28 07:00:00,VNINDEX,804.82,803.1,810.35,803.1,161949260
2017-09-29 07:00:00,VNINDEX,804.42,805.07,808.77,804.42,124224690
2017-10-02 07:00:00,VNINDEX,802.23,805.29,808.09,801.7,101196300
2017-10-03 07:00:00,VNINDEX,798.0,803.98,804.39,795.05,148218410
